UNIX time;Local time;genericSensor1
1618141266;2021-04-11T14:41:06.000;-0.742
1618141267;2021-04-11T14:41:07.000;-0.664
1618141268;2021-04-11T14:41:08.000;-0.742
1618141269;2021-04-11T14:41:09.000;-0.742
1618141270;2021-04-11T14:41:10.000;-0.742
1618141271;2021-04-11T14:41:11.000;-0.742
1618141272;2021-04-11T14:41:12.000;-0.742
1618141273;2021-04-11T14:41:13.000;-0.742
1618141274;2021-04-11T14:41:14.000;-0.742
1618141275;2021-04-11T14:41:15.000;-0.742
1618141276;2021-04-11T14:41:16.000;-0.664
1618141277;2021-04-11T14:41:17.000;-0.742
1618141278;2021-04-11T14:41:18.000;-0.742
1618141279;2021-04-11T14:41:19.000;-0.742
1618141280;2021-04-11T14:41:20.000;-0.742
1618141281;2021-04-11T14:41:21.000;-0.742
1618141282;2021-04-11T14:41:22.000;-0.742
1618141283;2021-04-11T14:41:23.000;-0.742
1618141284;2021-04-11T14:41:24.000;-0.742
1618141285;2021-04-11T14:41:25.000;-0.742
1618141286;2021-04-11T14:41:26.000;-0.742
1618141287;2021-04-11T14:41:27.000;-0.742
1618141288;2021-04-11T14:41:28.000;-0.742
1618141289;2021-04-11T14:41:29.000;-0.742
1618141290;2021-04-11T14:41:30.000;-0.664
1618141291;2021-04-11T14:41:31.000;-0.664
1618141292;2021-04-11T14:41:32.000;-0.664
1618141293;2021-04-11T14:41:33.000;-0.742
1618141294;2021-04-11T14:41:34.000;-0.742
1618141295;2021-04-11T14:41:35.000;-0.742
1618141296;2021-04-11T14:41:36.000;-0.742
1618141297;2021-04-11T14:41:37.000;-0.742
1618141298;2021-04-11T14:41:38.000;-0.742
1618141299;2021-04-11T14:41:39.000;-0.742
1618141300;2021-04-11T14:41:40.000;-0.742
1618141301;2021-04-11T14:41:41.000;-0.664
1618141302;2021-04-11T14:41:42.000;-0.742
1618141303;2021-04-11T14:41:43.000;-0.742
1618141304;2021-04-11T14:41:44.000;-0.742
1618141305;2021-04-11T14:41:45.000;-0.664
1618141306;2021-04-11T14:41:46.000;-0.742
1618141307;2021-04-11T14:41:47.000;-0.742
1618141308;2021-04-11T14:41:48.000;-0.742
1618141309;2021-04-11T14:41:49.000;-0.742
1618141310;2021-04-11T14:41:50.000;-0.742
1618141311;2021-04-11T14:41:51.000;-0.742
1618141312;2021-04-11T14:41:52.000;-0.742
1618141313;2021-04-11T14:41:53.000;-0.742
1618141314;2021-04-11T14:41:54.000;-0.742
1618141315;2021-04-11T14:41:55.000;-0.742
1618141316;2021-04-11T14:41:56.000;-0.742
1618141317;2021-04-11T14:41:57.000;-0.742
1618141318;2021-04-11T14:41:58.000;-0.742
1618141319;2021-04-11T14:41:59.000;-0.742
1618141320;2021-04-11T14:42:00.000;-0.742
1618141321.287;2021-04-11T14:42:01.287;-0.742
1618141322.287;2021-04-11T14:42:02.287;-0.742
1618141323.287;2021-04-11T14:42:03.287;-0.742
1618141324.287;2021-04-11T14:42:04.287;-0.742
1618141325.287;2021-04-11T14:42:05.287;-0.742
1618141326.287;2021-04-11T14:42:06.287;-0.742
1618141327.287;2021-04-11T14:42:07.287;-0.742
1618141328.287;2021-04-11T14:42:08.287;-0.742
1618141329.287;2021-04-11T14:42:09.287;-0.742
1618141330.287;2021-04-11T14:42:10.287;-0.742
1618141331.287;2021-04-11T14:42:11.287;-0.742
1618141332.287;2021-04-11T14:42:12.287;-0.742
1618141333.287;2021-04-11T14:42:13.287;-0.742
1618141334.287;2021-04-11T14:42:14.287;-0.742
1618141335.287;2021-04-11T14:42:15.287;-0.742
1618141336.287;2021-04-11T14:42:16.287;-0.742
1618141337.287;2021-04-11T14:42:17.287;-0.664
1618141338.287;2021-04-11T14:42:18.287;-0.742
1618141339.287;2021-04-11T14:42:19.287;-0.664
1618141340.287;2021-04-11T14:42:20.287;-0.742
